"","﻿Tunning","Sample size","hyperparm","algorithm+score","Cases","","algoname","indtest","score","alpha","penalty","prior","config id","precision","recall","BSF","f1","shd","tp","fp","fn","tn","nEdgesGtPag","a","i","nEdgesPag","tp_undirect","tp_bidirect","tp_o_direct","f1_bde","f1_bic","f1_ll","f1_aic","shd_ll","kl_f1","kl_shd","mi_f1","mi2_f1","Dynamic tuning_F1","Dynamic tuning_SHD","BDeu tuning_F1","BDeu tuning_SHD","BIC tuning_F1","BIC tuning_SHD","Dynamic BDeu/AIC tuning_F1","Dynamic BDeu/AIC tuning_SHD","AIC tuning_F1","AIC tuning_SHD","MI tuning_F1","MI tuning_SHD","Best_config_F1","Best_config_SHD","Best_config_F1","Best_config_SHD"
"26","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bic","none","6","none",26,"0.348214286",0.3375,0.2575,"0.3425",6.9,2.7,1.6,5.3,18.4,8,8,20,7.8,0,0,0,"NA",-236.2078031,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bic","none","7","none",27,"0.298214286",0.2875,0.2125,"0.2925",7.2,2.3,1.5,5.7,18.5,8,8,20,7.7,0,0,0,"NA",-236.6423282,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bic","none","8","none",28,"0.298214286",0.2875,0.2125,"0.2925",7.2,2.3,1.5,5.7,18.5,8,8,20,7.7,0,0,0,"NA",-236.6423282,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bic","none","9","none",29,"0.32202381",0.2875,0.2225,"0.30297619",7,2.3,1.3,5.7,18.7,8,8,20,7.1,0,0,0,"NA",-236.9194617,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bic","none","10","none",30,"0.29702381",0.2625,0.1975,"0.27797619",7.2,2.1,1.3,5.9,18.7,8,8,20,7.1,0,0,0,"NA",-236.7908306,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bic","none","11","none",31,"0.310238095",0.2625,0.2025,"0.282912088",7.1,2.1,1.2,5.9,18.8,8,8,20,6.8,0,0,0,"NA",-237.1157529,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bic","none","12","none",32,"0.315595238",0.2625,0.2075,"0.285412088",7,2.1,1.1,5.9,18.9,8,8,20,6.7,0,0,0,"NA",-236.9157529,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bic","none","13","none",33,"0.308452381",0.25,0.205,"0.274935897",6.9,2,0.9,6,19.1,8,8,20,6.5,0,0,0,"NA",-237.7601104,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bic","none","14","none",34,"0.344761905",0.2625,0.2475,"0.297435897",6.2,2.1,0.3,5.9,19.7,8,8,20,6.1,0,0,0,"NA",-237.4335864,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bic","none","15","none",35,"0.351428571",0.2625,0.2475,"0.2996337",6.2,2.1,0.3,5.9,19.7,8,8,20,6,0,0,0,"NA",-238.2029724,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
