algoname,indtest,score,alpha,penalty,prior,Avg_BDeu,Avg_bic,Avg_ll,Avg_aic,avg_free_param,Avg_mi,Avg_mi_sh,total_mi,total_mi_sh,tuning_F1,tuning_SHD
mmhc,x2,bdeu,0.05,none,5,-19735.78,-20387.02,-18878.11,-19226.41,348.30,146.52,141.21,5913.39,5699.00,NA,NA
mmhc,x2,bdeu,0.05,none,3,-19817.88,-20363.79,-18885.21,-19226.51,341.30,147.32,141.98,5903.18,5689.24,NA,NA
mmhc,x2,bdeu,0.01,none,2,-19859.85,-20284.20,-18910.45,-19227.55,317.10,150.76,145.28,5861.56,5648.82,NA,NA
mmhc,x2,bdeu,0.05,none,9,-19665.08,-20411.90,-18872.24,-19227.64,355.40,146.03,140.76,5924.00,5709.75,NA,NA
mmhc,x2,bdeu,0.01,none,6,-19702.24,-20372.78,-18886.40,-19229.50,343.10,148.79,143.40,5889.85,5676.08,NA,NA
mmhc,x2,bdeu,0.01,none,3,-19801.15,-20334.16,-18898.03,-19229.53,331.50,149.90,144.46,5873.57,5660.37,NA,NA
mmhc,x2,bdeu,0.01,none,4,-19749.78,-20334.16,-18898.03,-19229.53,331.50,149.90,144.46,5873.57,5660.37,NA,NA
mmhc,x2,bdeu,0.01,none,5,-19721.92,-20355.11,-18892.12,-19229.82,337.70,149.37,143.95,5881.53,5667.88,NA,NA
mmhc,x2,bdeu,0.01,none,1,-19982.28,-20237.07,-18927.88,-19230.08,302.20,152.56,147.02,5836.51,5624.51,NA,NA
mmhc,x2,bdeu,0.01,none,10,-19642.83,-20376.09,-18886.25,-19230.15,343.90,148.40,143.02,5890.38,5676.64,NA,NA
mmhc,x2,bdeu,0.01,none,7,-19682.64,-20379.53,-18885.35,-19230.25,344.90,148.79,143.40,5889.85,5676.08,NA,NA
mmhc,x2,bdeu,0.01,none,8,-19666.65,-20379.83,-18885.65,-19230.55,344.90,148.40,143.02,5890.38,5676.64,NA,NA
mmhc,x2,bdeu,0.01,none,9,-19657.95,-20391.97,-18883.93,-19232.03,348.10,148.40,143.02,5890.38,5676.64,NA,NA
