ID,Variable 1,Dependency,Variable 2
53,lon140lat30,->,lon160lat30
54,lon140lat60,->,lon140lat70
55,lon140lat70,->,lon140lat80
56,lon150lat-20,->,lon150lat-30
57,lon150lat-30,->,lon150lat-40
58,lon150lat-40,->,lon150lat-50
59,lon150lat-50,->,lon150lat-60
60,lon150lat-60,->,lon150lat-70
61,lon150lat0,->,lon150lat10
62,lon150lat10,->,lon140lat10
63,lon150lat20,->,lon150lat30
64,lon150lat30,->,lon150lat40
65,lon150lat40,->,lon150lat50
66,lon150lat50,->,lon150lat60
67,lon150lat70,->,lon150lat60
68,lon150lat80,->,lon150lat70
69,lon150lat90,->,lon150lat80
70,lon160lat-30,->,lon160lat-40
71,lon160lat-40,->,lon160lat-50
72,lon160lat-50,->,lon160lat-60
73,lon160lat-60,->,lon160lat-70
74,lon160lat-70,->,lon160lat-80
75,lon160lat-80,->,lon170lat90
76,lon160lat60,->,lon160lat70
77,lon160lat70,->,lon160lat80
78,lon160lat80,->,lon160lat90
79,lon160lat80,->,lon170lat-80
80,lon170lat-10,->,lon170lat0
81,lon170lat-30,->,lon170lat-40
82,lon170lat-40,->,lon170lat-50
83,lon170lat-50,->,lon170lat-60
84,lon170lat-60,->,lon170lat-70
85,lon170lat10,->,lon170lat20
86,lon170lat20,->,lon170lat30
87,lon170lat30,->,lon170lat40
88,lon170lat40,->,lon170lat50
89,lon170lat50,->,lon170lat60
90,lon170lat60,->,lon170lat70
91,lon170lat70,->,lon170lat80
92,lon170lat80,->,lon170lat90
93,lon180lat-10,->,lon180lat-20
94,lon180lat-20,->,lon180lat-30
95,lon180lat-40,->,lon180lat-50
96,lon180lat-50,->,lon180lat-60
97,lon180lat-60,->,lon180lat-70
98,lon180lat-80,->,lon180lat-70
99,lon180lat0,->,lon180lat10
100,lon180lat10,->,lon180lat20
101,lon180lat20,->,lon180lat30
102,lon180lat30,->,lon180lat40
103,lon180lat60,->,lon180lat70
104,lon180lat70,->,lon180lat80
105,lon180lat90,->,lon190lat-80
