ID,Variable 1,Dependency,Variable 2
54,lon140lat-30,->,lon140lat-40
55,lon140lat-40,->,lon140lat-50
56,lon140lat-50,->,lon140lat-60
57,lon140lat-60,->,lon140lat-70
58,lon140lat-70,->,lon140lat-80
59,lon140lat-80,->,lon150lat90
60,lon140lat30,->,lon160lat30
61,lon140lat50,->,lon140lat60
62,lon140lat60,->,lon140lat70
63,lon140lat70,->,lon140lat80
64,lon140lat80,->,lon140lat90
65,lon150lat-10,->,lon150lat-20
66,lon150lat-20,->,lon150lat-30
67,lon150lat-30,->,lon150lat-40
68,lon150lat-40,->,lon150lat-50
69,lon150lat-50,->,lon150lat-60
70,lon150lat-60,->,lon150lat-70
71,lon150lat0,->,lon150lat10
72,lon150lat20,->,lon150lat30
73,lon150lat30,->,lon150lat40
74,lon150lat40,->,lon150lat50
75,lon150lat50,->,lon150lat60
76,lon150lat50,->,lon170lat60
77,lon150lat70,->,lon150lat60
78,lon150lat80,->,lon150lat70
79,lon150lat90,->,lon150lat80
80,lon160lat-10,->,lon160lat10
81,lon160lat-10,->,lon160lat50
82,lon160lat-20,->,lon160lat-30
83,lon160lat-20,->,lon160lat0
84,lon160lat-30,->,lon160lat-40
85,lon160lat-40,->,lon160lat-50
86,lon160lat-50,->,lon160lat-60
87,lon160lat-50,->,lon180lat-50
88,lon160lat-60,->,lon160lat-70
89,lon160lat-70,->,lon160lat-80
90,lon160lat-80,->,lon170lat90
91,lon160lat20,->,lon160lat-10
92,lon160lat30,->,lon160lat20
93,lon160lat50,->,lon140lat10
94,lon160lat60,->,lon160lat70
95,lon160lat70,->,lon160lat80
96,lon160lat70,->,lon160lat90
97,lon160lat80,->,lon160lat90
98,lon170lat-10,->,lon170lat0
99,lon170lat-30,->,lon170lat-40
100,lon170lat-40,->,lon170lat-50
101,lon170lat-50,->,lon170lat-60
102,lon170lat-60,->,lon170lat-70
103,lon170lat10,->,lon170lat20
104,lon170lat20,->,lon170lat30
105,lon170lat30,->,lon170lat40
106,lon170lat40,->,lon170lat50
107,lon170lat50,->,lon170lat60
108,lon170lat60,->,lon170lat70
109,lon170lat70,->,lon170lat80
110,lon170lat80,->,lon170lat90
111,lon180lat-10,->,lon180lat-20
112,lon180lat-10,->,lon180lat0
113,lon180lat-20,->,lon180lat-30
114,lon180lat-50,->,lon180lat-40
115,lon180lat-60,->,lon180lat-50
116,lon180lat-70,->,lon180lat-60
117,lon180lat-80,->,lon180lat-70
118,lon180lat0,->,lon180lat10
119,lon180lat10,->,lon180lat20
120,lon180lat20,->,lon180lat30
121,lon180lat30,->,lon180lat40
122,lon180lat50,->,lon200lat50
123,lon180lat60,->,lon180lat70
124,lon180lat90,->,lon190lat-80
125,lon190lat-30,->,lon190lat-20
126,lon190lat-40,->,lon170lat-30
127,lon190lat-40,->,lon190lat-30
128,lon190lat-50,->,lon190lat-40
129,lon190lat-60,->,lon190lat-50
130,lon190lat-70,->,lon190lat-60
131,lon190lat-80,->,lon190lat-70
132,lon190lat0,->,lon190lat10
133,lon190lat10,->,lon190lat20
134,lon190lat20,->,lon190lat30
135,lon190lat30,->,lon190lat40
136,lon190lat40,->,lon190lat50
137,lon190lat50,->,lon190lat60
138,lon190lat50,->,lon190lat80
139,lon190lat60,->,lon190lat70
140,lon190lat70,->,lon190lat80
141,lon190lat80,->,lon190lat90
142,lon190lat90,->,lon180lat-80
143,lon200lat-10,->,lon200lat-20
144,lon200lat-10,->,lon200lat0
145,lon200lat-20,->,lon200lat-30
146,lon200lat-30,->,lon200lat-40
147,lon200lat-40,->,lon200lat-50
148,lon200lat-50,->,lon200lat-60
149,lon200lat-60,->,lon200lat-70
150,lon200lat-60,->,lon220lat-70
151,lon200lat-70,->,lon200lat-80
152,lon200lat0,->,lon200lat10
153,lon200lat10,->,lon200lat20
154,lon200lat20,->,lon200lat30
155,lon200lat30,->,lon200lat40
156,lon200lat60,->,lon210lat-20
157,lon200lat60,->,lon220lat60
158,lon200lat90,->,lon220lat80
159,lon20lat-10,->,lon20lat-20
160,lon20lat-10,->,lon20lat0
161,lon20lat-20,->,lon20lat-30
162,lon20lat-30,->,lon20lat-40
163,lon20lat-40,->,lon20lat-50
164,lon20lat-50,->,lon20lat-60
165,lon20lat-60,->,lon20lat-70
166,lon20lat-70,->,lon20lat-80
167,lon20lat0,->,lon20lat10
168,lon20lat10,->,lon20lat20
169,lon20lat20,->,lon20lat30
170,lon20lat30,->,lon20lat40
171,lon20lat40,->,lon20lat50
172,lon20lat50,->,lon20lat60
173,lon20lat60,->,lon20lat70
174,lon20lat70,->,lon20lat80
175,lon20lat80,->,lon20lat90
176,lon20lat90,->,lon30lat-80
177,lon210lat-20,->,lon210lat-30
178,lon210lat-30,->,lon210lat-40
179,lon210lat-50,->,lon230lat-50
180,lon210lat-60,->,lon210lat-70
181,lon210lat-60,->,lon230lat-70
182,lon210lat-70,->,lon210lat-80
183,lon210lat-80,->,lon200lat90
184,lon210lat0,->,lon210lat10
185,lon210lat0,->,lon230lat-10
186,lon210lat10,->,lon210lat20
187,lon210lat20,->,lon210lat30
188,lon210lat30,->,lon210lat40
189,lon210lat40,->,lon210lat50
190,lon210lat50,->,lon210lat60
191,lon210lat60,->,lon210lat70
192,lon210lat70,->,lon210lat80
193,lon210lat80,->,lon210lat90
194,lon210lat90,->,lon200lat-80
195,lon220lat-10,->,lon220lat-20
196,lon220lat-10,->,lon220lat0
197,lon220lat-20,->,lon240lat-20
198,lon220lat-40,->,lon220lat-50
199,lon220lat-80,->,lon230lat90
200,lon220lat0,->,lon220lat10
201,lon220lat10,->,lon220lat20
202,lon220lat20,->,lon220lat30
203,lon220lat30,->,lon220lat40
204,lon220lat60,->,lon220lat70
205,lon220lat70,->,lon230lat-30
206,lon220lat80,->,lon220lat90
207,lon220lat90,->,lon230lat-80
208,lon230lat-10,->,lon230lat0
209,lon230lat-30,->,lon230lat-40
210,lon230lat-40,->,lon140lat30
211,lon230lat-70,->,lon230lat-60
212,lon230lat-80,->,lon230lat-70
213,lon230lat0,->,lon230lat10
214,lon230lat10,->,lon230lat20
215,lon230lat20,->,lon230lat30
216,lon230lat30,->,lon230lat40
217,lon230lat40,->,lon230lat50
218,lon230lat50,->,lon230lat60
219,lon230lat70,->,lon230lat60
220,lon230lat80,->,lon230lat70
221,lon230lat90,->,lon230lat80
222,lon240lat-10,->,lon240lat0
223,lon240lat-40,->,lon240lat-50
224,lon240lat-50,->,lon240lat-60
225,lon240lat-60,->,lon220lat-40
226,lon240lat-70,->,lon240lat-80
227,lon240lat-80,->,lon250lat90
228,lon240lat0,->,lon240lat10
229,lon240lat10,->,lon240lat20
230,lon240lat20,->,lon240lat30
231,lon240lat30,->,lon240lat40
232,lon240lat40,->,lon240lat50
233,lon240lat50,->,lon220lat50
234,lon240lat80,->,lon260lat70
235,lon240lat90,->,lon240lat80
236,lon250lat-10,->,lon250lat0
237,lon250lat-10,->,lon270lat-10
238,lon250lat-20,->,lon270lat-20
239,lon250lat-50,->,lon250lat-60
240,lon250lat-60,->,lon250lat-70
241,lon250lat-70,->,lon250lat-80
242,lon250lat-80,->,lon240lat90
243,lon250lat0,->,lon250lat10
244,lon250lat10,->,lon250lat20
245,lon250lat20,->,lon250lat30
246,lon250lat30,->,lon250lat40
247,lon250lat40,->,lon250lat50
248,lon250lat50,->,lon250lat60
249,lon250lat60,->,lon250lat70
250,lon250lat70,->,lon250lat80
251,lon250lat90,->,lon250lat80
252,lon260lat-10,->,lon260lat-20
253,lon260lat-10,->,lon260lat0
254,lon260lat-20,->,lon240lat-20
255,lon260lat-20,->,lon260lat-30
256,lon260lat-30,->,lon260lat-40
257,lon260lat-40,->,lon260lat-50
258,lon260lat-60,->,lon260lat-50
259,lon260lat-70,->,lon260lat-60
260,lon260lat-70,->,lon260lat-80
261,lon260lat0,->,lon260lat10
262,lon260lat10,->,lon260lat20
263,lon260lat20,->,lon260lat30
264,lon260lat30,->,lon260lat40
265,lon260lat40,->,lon260lat50
266,lon260lat50,->,lon260lat60
267,lon260lat70,->,lon260lat60
268,lon260lat70,->,lon260lat80
269,lon260lat80,->,lon260lat90
270,lon270lat-10,->,lon270lat0
271,lon270lat-20,->,lon290lat-20
272,lon270lat-30,->,lon270lat-40
273,lon270lat-40,->,lon270lat-50
274,lon270lat-50,->,lon270lat-60
275,lon270lat-60,->,lon270lat-70
276,lon270lat-70,->,lon270lat-80
277,lon270lat-80,->,lon260lat90
278,lon270lat0,->,lon270lat10
279,lon270lat10,->,lon270lat20
280,lon270lat20,->,lon270lat30
281,lon270lat30,->,lon270lat40
282,lon270lat40,->,lon270lat50
283,lon270lat50,->,lon270lat60
284,lon270lat60,->,lon270lat70
285,lon270lat70,->,lon270lat80
286,lon270lat80,->,lon270lat90
287,lon280lat-10,->,lon280lat-20
288,lon280lat-10,->,lon280lat0
289,lon280lat-20,->,lon280lat-30
290,lon280lat-30,->,lon280lat-40
291,lon280lat-40,->,lon280lat-50
292,lon280lat-50,->,lon280lat-60
293,lon280lat-70,->,lon260lat-70
294,lon280lat-70,->,lon280lat-60
295,lon280lat-80,->,lon280lat-70
296,lon280lat0,->,lon280lat10
297,lon280lat10,->,lon280lat20
298,lon280lat20,->,lon280lat30
299,lon280lat30,->,lon280lat40
300,lon280lat40,->,lon280lat50
301,lon280lat50,->,lon280lat60
302,lon280lat60,->,lon280lat70
303,lon280lat70,->,lon280lat80
304,lon280lat80,->,lon280lat90
305,lon280lat90,->,lon290lat-80
306,lon290lat-10,->,lon290lat0
307,lon290lat-30,->,lon290lat-40
308,lon290lat-40,->,lon290lat-50
309,lon290lat-50,->,lon290lat-60
310,lon290lat-60,->,lon290lat-70
311,lon290lat-80,->,lon290lat-70
312,lon290lat0,->,lon290lat10
313,lon290lat10,->,lon290lat20
314,lon290lat20,->,lon290lat30
315,lon290lat30,->,lon290lat40
316,lon290lat40,->,lon290lat50
317,lon290lat50,->,lon290lat60
318,lon290lat60,->,lon290lat70
319,lon290lat70,->,lon290lat80
320,lon290lat80,->,lon290lat90
321,lon290lat90,->,lon280lat-80
322,lon300lat-10,->,lon300lat-20
323,lon300lat-10,->,lon300lat0
324,lon300lat-20,->,lon300lat-30
325,lon300lat-30,->,lon300lat-40
326,lon300lat-40,->,lon300lat-50
327,lon300lat-50,->,lon300lat-60
328,lon300lat-60,->,lon300lat-70
329,lon300lat-80,->,lon300lat-70
330,lon300lat0,->,lon300lat10
331,lon300lat10,->,lon300lat20
332,lon300lat20,->,lon300lat30
333,lon300lat30,->,lon300lat40
334,lon300lat40,->,lon300lat50
335,lon300lat50,->,lon300lat60
336,lon300lat60,->,lon300lat70
337,lon300lat70,->,lon300lat80
338,lon300lat70,->,lon300lat90
339,lon300lat80,->,lon300lat90
340,lon300lat90,->,lon310lat-80
341,lon30lat-10,->,lon30lat-20
342,lon30lat-10,->,lon30lat0
343,lon30lat-20,->,lon30lat-30
344,lon30lat-30,->,lon30lat-40
345,lon30lat-40,->,lon30lat-50
346,lon30lat-50,->,lon30lat-60
347,lon30lat-60,->,lon30lat-70
348,lon30lat-70,->,lon30lat-80
349,lon30lat0,->,lon30lat10
350,lon30lat10,->,lon30lat20
351,lon30lat20,->,lon30lat30
352,lon30lat30,->,lon30lat40
353,lon30lat40,->,lon30lat50
354,lon30lat50,->,lon30lat60
355,lon30lat60,->,lon30lat70
356,lon30lat70,->,lon30lat80
357,lon30lat80,->,lon30lat90
358,lon30lat90,->,lon20lat-80
359,lon310lat-10,->,lon310lat-20
360,lon310lat-10,->,lon310lat0
361,lon310lat-20,->,lon310lat-30
362,lon310lat-40,->,lon310lat-30
363,lon310lat-50,->,lon310lat-40
364,lon310lat-60,->,lon310lat-50
365,lon310lat-70,->,lon310lat-60
366,lon310lat-80,->,lon310lat-70
367,lon310lat0,->,lon310lat10
368,lon310lat10,->,lon310lat20
369,lon310lat20,->,lon310lat30
370,lon310lat30,->,lon310lat40
